,title,lyrics
10,"Stay, I Pray You",how can i desert you. how to tell you why. coachmen hold the horses. stay i pray you. let me have a moment. let me say goodbye. . to  and river forest and waterfall. orchard sea and sky. harsh and sweet and bitter to leave it all. . . i'll bless my homeland 'til i die. how to break the tie. we have shed our tears. and shared our sorrows. though the scars remain. and tears will never dry. i'll bless my homeland 'til i die. . . never to return. . . finally breaking free. . . you are all i know. you have raised me. . . how to turn away. how to close the door. . . how to go where i have never gone before. . . how can i desert you. how to tell you why. coachmen hold the horses. stay i pray you. let me have a moment. let me say goodbye. . . ahahahahahah. ahahahahah. . . ahahah. . . harsh and sweet and bitter to leave it all. i'll bless my homeland 'til i die. . . i'll bless my homeland. . . i'll bless my homeland. . . i'll bless my homeland 'til i die
11,We'll Go from There,i hope lily's happy to see me. be honest vlad popov how could she not be. . sung. i may have gotten fatter. but maybe that won't matter. bottom line... i'll win her. we'll do some reminiscing. she'll see what she's been missing. over wine.... and dinner. . and though i know i've grown a tiny bit gray. some women say i look distinguished this way. i'll bow as if i'm still a frisky young pup. let's hope that i can straighten up. if she says no we'll all lay low. and we'll go from there. . . hands shaking heart thund'ring. meet the royal mess. start smiling stop wondering. why did i say yes. . . this chance is all i've got. . . keep a grip and take a deep breath. and soon we'll know what's what. put on our show. rewards will flow. and we'll go from there. . . and we'll go from there. . . and we'll go from there. . . and we'll go from there. . . oh what a lovely ride. and what a lovely day. . . for a totally illegal. . . lovely getaway. . . i may have gotten fatter hands shaking. but maybe that won't matter heart thundering. bottom line... meet the royal. i'll win her mess. we'll do some reminiscing start smiling. she'll see what she's been missing stop wondering. over wine why did i say. and dinner yes. . and though i know i've grown a tiny bit gray this chance is all i've got. some women say i look distinguished this way. keep a grip and take a deep breath. i'll bow as if i'm still a frisky young pup and soon we'll know what's what. let's hope that i can straighten up. . . but no more doubt. . . no time to spare. . . we're nearly out. . . so let's prepare. . . we're on our way. to who knows where. and we'll go. and we'll go. and we'll go. from there. . . we'll go from there
12,Everything to Win,what are they saying. wonder how long they'll be. why should i worry worrying's not like me. nothing to do but pace and stew. and wait till the girl walks in. why panic now with everything to win. . nothing but silence this could be bad. but no let's assume it's good. thought it was foolproof. nothing is foolproof. woah better knock on wood. girl gets a family boy gets rich. and fairytale gets a spin. how can we fail with everything to win. . i wonder if our paths will ever cross again. the way they did when you were eight and i was ten. we said this was goodbye but even so. you never know. you never know.... . i should be glad. that we're breaking free. but nothing is what it was. i didn't know she mattered to me. but now i can see she does. conman and princess get their wish. and fairytale comes true. funny one small part i never knew. with everything to win. the only thing i lose is... you
13,Charles' Song,was a brother in the trenches with me. we were allies on one side of history. and we fought for the right to go home and lay down and be free. . when i came back from the war i was lost. we had won but what was the cost. i would drink i would cry watch my life pass me by i would say. . my brother in arms has now gone away. promoted advanced allegiance astray. alone in australia until that one day. i found her my muse. my mavis oh how sweet. . she picked me up and brushed off the dust. she won my heart and earned all my trust. my savior that day made the doubt go away. go away go away. . i fell into love her beautiful smile. her wit and her charm they put me on trial. mavis oh mavis just stay for a while. she swept me away my only. . i gave her my life and she ripped out my heart. i left her alone and he tore us apart. he may have saved my life but now he takes it away. . my brother in arms has left me betrayed. hes dead to me now my debts been repaid. alone in a prison cell until that one day. . . ill have my revenge. oh mavis oh mavis. ill take what he gave. oh mavis oh mavis she was the one for you. so theyll know my pain. and one of us will never be the same
14,At The Beginning - Anastasia, were strangers. starting out on a journey. never dreaming what wed have to go through. now here we are. and i'm suddenly standing. at the beginning with you. . no one told me that i was going to find you. unexpected what you did to my heart. when i lost hope. you were there to remind me. this is the start. . and life is a road i wanna keep going. love is a river i want to keep flowing. life is road now and forever. wonderful journey. i'll be there when the world stops turning. i'll be there when the storm is through. in the end i wanna be standing. at the beginning with you. . we were strangers. on a crazy adventure. never dreaming that dreams would come true. now here we stand unafraid of the future. at the beginning with you. . and life is a road i wanna keep going. love is a river i want to keep flowing. life is road now and forever. wonderful journey. i'll be there when the world stops turning. i'll be there when the storm is through. in the end i wanna be standing. at the beginning with you. . knew there was somebody somewhere. like me alone in the dark. now i know that my dream will live on. i've been waiting so long. nothings gonna tear us apart. . and life is a road i wanna keep going. love is a river i want to keep flowing. life is road now and forever. wonderful journey. i'll be there when the world stops turning. i'll be there when the storm is through. in the end i wanna be standing. at the beginning with you. . life is a road and i wanna keep going. love is a river i want to keep going on. starting out on a journey. life is a road i wanna keep going. love is a river i want to keep flowing. in the end i want to be standing at the beginning. with you
15,The Neva Flows,be very careful of these rumors that prevail.... be very careful what you say. . i was a boy who lived the truth behind the tale. and no one got away. . . i saw the children as the soldiers closed the gate. the youngest daughter and her pride. . my father leaving on the night they met their fate. his pistol by his side. . . the neva flows a new wind blows. and soon it will be spring. the leaves unfold the tsar lies cold. a revolution is a simple thing. . spoken. i heard the shots. i heard the screams. . but it's the silence after i remember most. . sung. the world stopped breathing. and i was no longer a boy. my father shook his head and told me not to ask. my mother said he died of shame. . but i believe he did a proud and vital task. . and in my father's name. . the neva flows a new wind blows. and soon it will be spring. the leaves unfold the tsar lies cold. could i have pulled the trigger.... if i'd been told. be careful what a dream may bring. . a revolution is a simple thing...
16,Once Upon a December,dancing bears painted wings. things i almost remember. and a song someone sings. once upon a december. . someone holds me safe and warm. horses prance through a silver storm. figures dancing gracefully. across my memory. . . ahahah. ahahah ahahah. ahahah ahahahah ahah. ahahah ahahahah. ahahah ahahahah. ahahah ahahah. ahahah ahahahahah. . . someone holds me safe and warm. horses prance through a silver storm. figures dancing gracefully. across my memory. . . ahahah. ahah. . . far away long ago. glowing dim as an ember. things my heart used to know. things it yearns to remember. . and a song someone sings. once upon a dеcember
17,Journey to the Past,heart don't fail me now. courage don't desert me. don't turn back now that we're here. people always say. life is full of choices. no one ever mentions fear. or how the world can seem so vast. on a journey to the past. . somewhere down this road. i know someone's waiting. years of dreams just can't be wrong. arms will open wide. i'll be safe and wanted. finally home where i belong. well starting now i'm learning fast. on this journey to the past. . home love family. there was once a time i must have had them too. home love family. i will never be complete until i find you. . one step at a time. one hope then another. who knows where this road may go. back to who i was. on to find my future. things my heart still needs to know. yes let this be a sign. let this road be mine. let it lead me to my past. and bring me home at last
18,In My Dreams,they said i was found by the side of a road. there were tracks all around it had recently snowed. in the darkness and cold with the wind in the trees. a girl with no name. and no memories but these.... . rain against a window sheets upon a bed. terrifying nurses whispering overhead. call the child anya give the child a hat. i don't know a thing before that.... . traveling the back roads sleeping in the wood. taking what i needed working when i could. keeping up my courage foolish as it seems. at night all alone in my dreams. . in my dreams shadows call. there's a light at the end of a hall. then my dreams fade away. but i know it all will come back. one day.... . . ah ah. . . i dream of a city beyond all compare. is it paris paris.... a beautiful river a  by a square. and i hear a voice whisper. i'll meet you right there in paris. paris.... . you don't know what it's like. not to know who you are. . to have lived in the shadows. and traveled this far. i've seen flashes of fire. heard the echo of screams. but i still have this faith. in the truth of my dreams. . in my dreams it's all real. and my heart has so much to reveal. and my dreams seem to say. don't be afraid to go on. don't give up hope come what may. i know it all will come back. one day
19,Still,an underhanded girl. an act of desperation. and to my consternation. i let her go. . she wants what she can get. is that a fair depiction. does she believe her fiction. its hard to know. . is it innocence or guile. or nothing but a childish act of will. she doesn't know she needs you. she willfully misleads you. but still... still. . a son becomes a man at his father's knee. if my father asked questions. well where would we be. . she's nothing but a child. a waif who needs protection. . i feel a strange connection i can't allow. . she said it's all a game. she trembles like a flower. but in her there's a power. i see that now. . i am nothing but a man. with nothing but his orders to fulfill. . i'm innocent she cries. but then you see her eyes. then something in them tells you that she absolutely lies. until your heart replies. but still.... still... still
20,Crossing a Bridge,look at the sky. look at the water. somebody's . somebody's daughter. who could've known i'd be alone. crossing this . . boats heading in. somebody calling. sun going down. shadows are falling. shimmering view. dangerous too. crossing a . . halfway between where i've been. and where i'm going. in between wondering why. and finally knowing. . thousands of lights. shining below me. somebody waits. somebody know me. . maybe we're sharing. this beautiful night. me on the left bank. you on the right. almost in sight.... crossing a . . every light is like a promise. every light could be a clue. one of them might be you
21,Do You Hear The People Sing?,do you hear the people sing. singing the song of angry men. it is the music of the people. who will not be slaves again. when the beating of your heart. echoes the beating of the drums. there is a life about to start. when tomorrow comes. . . will you join in our crusade. who will be strong and stand with me. beyond the barricade. is there a world you long to see. then join in the fight. that will give you the right to be free. . . do you hear the people sing. singing the song of angry men. it is the music of the people. who will not be slaves again. when the beating of your heart. echoes the beating of the drums. there is a life about to start. when tomorrow comes. . . will you give all you can give. so that our banner may advance. some will fall and some will live. will you stand up and take your chance. the blood of the martyrs. will water the meadows of france. . . do you hear the people sing. singing the song of angry men. it is the music of the people. who will not be slaves again. when the beating of your heart. echoes the beating of the drums. there is a life about to start. when tomorrow comes
22,El Tango De Roxanne,roxanne. . . word to the wise my dear. never fall in love with a woman who sells herself. it always ends badly. . . his eyes upon your face. his hand upon your hand. his lips caress your skin. it's more than i can stand. . roxanne. you don't have to wear that dress tonight. walk these streets for money. you don't care if it's wrong or if it is right. . roxanne. you don't have to put on the red light. roxanne. you don't have to put on the red light. roxanne put on the red light. roxanne put on the red light. roxanne put on the red light. roxanne put on the red light. roxanne put on the red light. roxanne put on the red light. . . i am andré dacor benicieux le duc de monroth. you will reject the boy shatter him you will break his heart. . . roxanne put on the red light. roxanne put on the red light. roxanne put on the red light. roxanne put on the red light. help me i'm holding on for dear life roxanne. help me i'm holding on for dear life roxanne. . why does my heart cry. feelings i can't fight. you're free to leave me but. just don't deceive me. and please believe me when i say. i love you. . . you mean nothing to me. i feel nothing for you. you are nothing
23,Crazy Rolling,i remember when i remember. i remember when i lost my mind. there was something so pleasant about that place. even you emotions have an eco. so much space. . mmm. when you're out there without care. yeah i was out of touch. but it wasn't because i didn't know enough. i just knew to much. . does that make me crazy. does that make me crazy. does that make me crazy. possibly. there's a fire starting in my heart. reaching a fever pitch and it's bringing me out the dark. finally i can see you crystal clear. so go 'head and sell me out and i'll lay your ship bare. . see how i leave with every piece of you. don't underestimate the things that i will do. there's a fire starting in my heart. reaching a fever pitch and its bringing me out the dark. the scars of your love remind me of us. they keep me thinking that we almost had it all. the scars of your love they leave me breathless i can't help feeling. . we could have had it all. rolling in the deep. you had my heart inside of your hand. and you played it to the beat. . . baby i have no story to be told. but i've heard one on you and i'm gonna make your head burn. think of me in the depths of your despair. making a home down there 'cause mine sure won't be shared. . you're gonna wish you never had met me the scars of your love remind me of us. tears are gonna fall rolling in the deep they keep me thinking that we almost had it all. you're gonna wish you never had met me tears are gonna fall the scars of your love they leave me breathless i can't help feeling. . satine  christian ensemble. we could have had it all you're gonna wish you never had met me. rolling in the deep tears are gonna fall rolling in the deep. you had my heart inside of your hand you're gonna wish you never had met me. and you played it to the beat tears are gonna fall rolling in the deep. . . my heroes had the heart. to lose their lives out on a limb. and all i remember is thinking. i wanna be like them. mmhmm ever since i was little. ever since i was little it looked like fun. and it's no coincidence i've come. and i can die when i'm done. . . throw your soul through every open door. count your blessings to find what you look for. turned my sorrow into treasured gold. you pay me back in kind and reap just what you sow. . . you're gonna wish you never had met me. tears are gonna fall rolling in the deep we could've had it all. you're gonna wish you never had met me we could have had it all. it all it all it all tears are gonna fall. . maybe i'm crazy you're gonna wish you never had met me. maybe i'm crazy tears are gonna fall rolling in the deep. you had my heart inside your hand you're gonna wish you never had met me. and you played it you played it. you played it you played it. you played it you played it. . . you played it. to the beat
24,Someone Else's Skin,there's no phone booth there's no cape. there's no steve mcqueen to help me make my great escape. how can i fly like a hero in the sky. be a shooting star out in the stratosphere. . where's the shadow he might know. where's that searchlight in the sky to point the way to go. through some new cloud to disappear into the crowd. though the future's dark there's one thing crystal clear. that there's no home here. . . son listen to me. we just need a nameyour mother or your father. . . so many voices telling me to choose. . . it can get very expensive people fighting over their children. . . it's like a game where either teami lose. . . nobody's fighting. frankie look at me. nobody's fighting. . . this kind of noise just makes me want to shout. . . frankie just give 'em a name and this all'll be over. it's gonna be okay. . . i'd like to buy a oneway ticket out. . . my brave little soldier do what you have to do. . . rules of the road say don't look back. eyes straight ahead don't jump the track. try a new game. . . i'm sorry frank. . . and pray that i can win. . . i've got no room to move here. . . 'cause i just don't feel at home in mine. so i'll slip down into someone else's skin. . . whoohoo. whoohoo. . . i see the maps from every book i've read. the worlds that i have lived inside my head. i thought a love like theirs could never die. if it can fade away then so can i. . at first you see me then you don't ooh. don't look for me you know i won't even be there. so let the games begin. 'cause i just don't feel at home in mine aah. so i'll slip down into someone else's skin. . . whoohoo. . . into someone else's skin yeah. . . whoohoo. . . i'm gonna run down the street run out of town. i'm gonna run from the whole team and never touch down. run from the books cause it's all been a fake. i'm gonna run from the choices that i don't wanna make. school's not out but i can't wait aah. it's the perfect time to graduate today. . . i've gotta run away now. . . whoohoo. . . i've got to run away. oh yeah yeah. . . whoohoo. . . i know they'll see the truth when i move on. they'll need each other much more once i'm gone. and then i'm flush and he's back on his feet. i'll pick him up and ride down easy street. . no time to cry for all the years ooh. a rusty gas tank full of tears gets you nowhere. not the places i want in. . and i just don't feel at home in mine aah. so i'll slip down into someone else's skin aah. into someone else's skin. into someone else's skin. into someone else's skin. into someone else's skin yeah. into someone else's skin. into someone else's skin. into someone else's skin
25,Goodbye,it's my happy ending. now it's time to say goodnight. we can stop pretending. tell the spotlight man turn off my light. 'cause the show is done now. and it's time to leave the stage. yeah the good guy won now. and the band has no more songs to play. it's a happy ending so i'll say. . goodbye. goodbye to all the make believe. goodbye. there's no more magic up my sleeve. there's nothing left to act up here. i'll take my bow and disappear. no questions left for answering. there's only one word left to sing. goodbye. . it's a happy ending. to the greatest show on earth. now the curtain's descending. and i hope you got your money's worth. gonna stop the show now. 'cause i wanna leave on top. so get up and go now. 'cause there's nothing left inside my head. everything that's left to say's been said. . but goodbye. goodbye to all the song and dance. goodbye. offstage i stand a better chance. the show is through the parts been played. no standing in the wings afraid. no violins or phony tears. the word thats music to my ears is goodbye. goodbye. goodbye. goodbye. . i'm not afraid of stopping. this end could be my start. i wanna live a life. and not just play a part. i'll walk into the sunset. i'll sail across the sea. the final word. the last you'll hear of me. of me of me. . is goodbye. goodbye to every night alone. goodbye. goodbye to lives i don't own. i'm tired of living on the stage. a life that's only on the page. empty lies are in the past. i've tried before but here's the last goodbye. goodbye. goodbye. goodbye. goodbye
